id,photo,web_name,team_code,status,code,first_name,second_name,squad_number,news,now_cost,chance_of_playing_this_round,chance_of_playing_next_round,value_form,value_season,cost_change_start,cost_change_event,cost_change_start_fall,cost_change_event_fall,in_dreamteam,dreamteam_count,selected_by_percent,form,transfers_out,transfers_in,transfers_out_event,transfers_in_event,loans_in,loans_out,loaned_in,loaned_out,total_points,event_points,points_per_game,ep_this,ep_next,special,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,element_type,team
118,19188.jpg,Dann,31,a,19188,Scott,Dann,6,,48,,,0.2,1.5,-2,0,2,0,,0,0.6,1.0,34877,5646,1100,99,0,0,0,0,7,0,1.2,0.0,0.0,,540,0,0,0,13,0,0,0,1,0,0,0,83,131.8,34.4,124.0,29.0,0,2,6
119,55494.jpg,Ward,31,a,55494,Joel,Ward,2,,48,,,0.2,0.8,-2,-1,2,1,,0,0.3,0.8,14414,1452,460,50,0,0,0,0,4,0,0.8,-0.2,-0.2,,450,0,0,0,8,1,0,0,2,0,0,0,66,81.6,61.0,30.0,17.3,0,2,6
120,58786.jpg,Kelly,31,a,58786,Martin,Kelly,34,,43,,,0.0,0.0,-2,0,2,0,,0,0.2,0.0,6742,876,203,59,0,0,0,0,0,0,0.0,-1.0,-1.0,,49,0,0,0,2,0,0,0,0,0,0,0,5,6.8,0.3,33.0,4.0,0,2,6
121,7906.jpg,Delaney,31,a,7906,Damien,Delaney,27,,43,,,0.0,0.0,-2,0,2,0,,0,0.4,0.0,13648,1111,407,72,0,0,0,0,0,0,0.0,-1.0,-1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,6
122,79228.jpg,Souaré,31,a,79228,Pape,Souaré,23,,45,100,100,0.0,0.0,0,0,0,0,,0,0.0,0.0,392,159,15,19,0,0,0,0,0,0,0.0,-1.0,-1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,6
123,86417.jpg,Schlupp,31,a,86417,Jeffrey,Schlupp,15,,48,,,0.2,0.8,-2,0,2,0,,0,0.2,0.8,8974,941,285,28,0,0,0,0,4,-1,1.0,-0.2,-0.2,,276,0,0,0,7,0,0,0,1,0,0,0,35,60.6,53.5,30.0,14.4,0,2,6
124,74230.jpg,"van Aanholt",31,a,74230,Patrick,"van Aanholt",3,,53,,,0.1,0.6,-2,0,2,0,,0,1.5,0.3,117874,11700,3057,69,0,0,0,0,3,0,0.8,-0.7,-0.7,,308,0,0,0,10,0,0,0,1,0,0,0,50,65.2,67.4,39.0,17.3,0,2,6
125,19197.jpg,Puncheon,31,a,19197,Jason,Puncheon,42,,48,,,0.3,1.5,-2,0,2,0,,0,0.7,1.3,37193,7256,1099,300,0,0,0,0,7,1,1.2,0.3,0.3,,466,0,0,0,11,0,0,0,4,0,0,0,24,37.8,90.0,77.0,20.4,0,3,6
126,82403.jpg,Zaha,31,i,82403,Wilfried,Zaha,11,"Knee injury - Expected back 14 Oct",67,0,0,0.0,0.3,-3,-1,3,1,,0,2.7,0.0,937355,8723,4139,40,0,0,0,0,2,0,2.0,0.0,0.0,,90,0,0,0,3,0,0,0,0,0,0,0,-1,12.0,12.5,46.0,7.1,0,3,6
127,50471.jpg,McArthur,31,a,50471,James,McArthur,18,,44,100,100,0.3,1.4,-1,0,1,0,,0,2.7,1.3,97510,13516,3475,3662,0,0,0,0,6,0,1.5,0.3,0.3,,255,0,0,0,4,0,0,0,1,0,0,0,17,8.8,22.9,50.0,8.0,0,3,6
128,75773.jpg,"Lee Chung-yong",31,a,75773,Chung-yong,Lee,14,,44,,,0.2,0.7,-1,0,1,0,,0,0.7,0.8,15484,38880,969,386,0,0,0,0,3,0,1.5,-0.2,-0.2,,109,0,0,0,2,0,0,0,0,0,0,0,8,1.8,30.4,10.0,4.2,0,3,6
129,27341.jpg,Cabaye,31,a,27341,Yohan,Cabaye,7,,55,100,100,0.2,0.9,0,0,0,0,,0,0.3,1.3,13772,3439,425,114,0,0,0,0,5,1,1.3,0.3,0.3,,268,0,0,0,4,0,0,0,2,0,0,1,50,48.6,123.1,47.0,21.9,0,3,6
130,44343.jpg,Sako,31,a,44343,Bakary,Sako,26,,49,100,100,0.1,0.4,-1,0,1,0,,0,0.0,0.5,2078,407,44,73,0,0,0,0,2,1,1.0,-0.5,-0.5,,30,0,0,0,2,0,0,0,0,0,0,0,10,5.0,0.4,2.0,0.7,0,3,6
131,60252.jpg,Townsend,31,a,60252,Andros,Townsend,10,,57,,,0.4,1.9,-3,-1,3,1,,0,1.2,2.0,73827,9840,1942,147,0,0,0,0,11,2,1.8,1.0,1.0,,495,0,0,0,11,0,0,0,0,0,0,0,73,67.4,127.3,81.0,27.7,0,3,6
132,66975.jpg,Milivojevic,31,a,66975,Luka,Milivojevic,4,,47,,,0.2,1.5,-3,0,3,0,,0,0.4,1.0,45404,3319,715,173,0,0,0,0,7,2,1.4,0.0,0.0,,289,0,0,0,10,0,0,0,0,0,0,0,44,46.2,32.7,8.0,8.7,0,3,6
133,59125.jpg,Wickham,31,i,59125,Connor,Wickham,21,"Knee injury - Unknown return date",54,0,0,0.0,0.0,-1,0,1,0,,0,0.0,0.0,921,229,40,12,0,0,0,0,0,0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,6
134,54861.jpg,Benteke,31,d,54861,Christian,Benteke,17,"Knock - 25% chance of playing",77,,25,0.2,1.2,-3,0,3,0,,0,3.2,1.5,316825,27242,9235,144,0,0,0,0,9,2,1.5,0.5,0.1,,521,0,0,0,11,0,0,0,3,0,0,0,-11,18.8,63.4,133.0,21.3,0,4,6
135,111234.jpg,Pickford,11,a,111234,Jordan,Pickford,1,,50,100,100,0.4,3.6,0,0,0,0,,0,8.7,2.0,135200,67084,8089,1154,0,0,0,0,18,3,3.0,3.0,3.0,,540,0,0,1,11,0,0,0,0,0,20,1,111,147.6,10.0,0.0,15.7,0,1,7
136,78315.jpg,Robles,11,a,78315,Joel,Robles,33,,44,,,0.0,0.0,-1,0,1,0,,0,0.2,0.0,4707,475,173,30,0,0,0,0,0,0,0.0,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,7
137,10318.jpg,Stekelenburg,11,a,10318,Maarten,Stekelenburg,22,,44,100,100,0.0,0.0,-1,0,1,0,,0,0.5,0.0,11810,1247,408,57,0,0,0,0,0,0,0.0,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,7
138,12745.jpg,Baines,11,a,12745,Leighton,Baines,3,,59,,,0.2,2.0,-1,0,1,0,,0,7.3,1.0,182306,32433,10066,909,0,0,0,0,12,2,2.0,2.0,2.0,,540,0,0,1,11,0,0,0,0,0,0,0,83,86.6,109.6,2.0,19.9,0,2,7
